rel.group,area,year,season,program,length,lendist
117,1,2007,3,JPTP,96,0
117,1,2007,3,JPTP,98,0
117,1,2007,3,JPTP,100,0
117,1,2007,3,JPTP,102,0
117,1,2007,3,JPTP,104,0
117,1,2007,3,JPTP,106,0
117,1,2007,3,JPTP,108,0
117,1,2007,3,JPTP,110,0
117,1,2007,3,JPTP,112,0
117,1,2007,3,JPTP,114,0
117,1,2007,3,JPTP,116,0
117,1,2007,3,JPTP,118,0
117,1,2007,3,JPTP,120,0
117,1,2007,3,JPTP,122,0
117,1,2007,3,JPTP,124,0
117,1,2007,3,JPTP,126,0
117,1,2007,3,JPTP,128,0
117,1,2007,3,JPTP,130,0
117,1,2007,3,JPTP,132,0
117,1,2007,3,JPTP,134,0
117,1,2007,3,JPTP,136,0
117,1,2007,3,JPTP,138,0
117,1,2007,3,JPTP,140,0
117,1,2007,3,JPTP,142,0
117,1,2007,3,JPTP,144,0
117,1,2007,3,JPTP,146,0
117,1,2007,3,JPTP,148,0
117,1,2007,3,JPTP,150,0
117,1,2007,3,JPTP,152,0
117,1,2007,3,JPTP,154,0
117,1,2007,3,JPTP,156,0
117,1,2007,3,JPTP,158,0
117,1,2007,3,JPTP,160,0
117,1,2007,3,JPTP,162,0
117,1,2007,3,JPTP,164,0
117,1,2007,3,JPTP,166,0
117,1,2007,3,JPTP,168,0
117,1,2007,3,JPTP,170,0
117,1,2007,3,JPTP,172,0
117,1,2007,3,JPTP,174,0
117,1,2007,3,JPTP,176,0
117,1,2007,3,JPTP,178,0
117,1,2007,3,JPTP,180,0
117,1,2007,3,JPTP,182,0
117,1,2007,3,JPTP,184,0
117,1,2007,3,JPTP,186,0
117,1,2007,3,JPTP,188,0
117,1,2007,3,JPTP,190,0
117,1,2007,3,JPTP,192,0
117,1,2007,3,JPTP,194,0
117,1,2007,3,JPTP,196,0
117,1,2007,3,JPTP,198,0
118,1,2007,4,JPTP,10,0
118,1,2007,4,JPTP,12,0
118,1,2007,4,JPTP,14,0
118,1,2007,4,JPTP,16,0
118,1,2007,4,JPTP,18,0
118,1,2007,4,JPTP,20,0
118,1,2007,4,JPTP,22,0
118,1,2007,4,JPTP,24,0
118,1,2007,4,JPTP,26,1.29437281864025
118,1,2007,4,JPTP,28,2.5887456372805
118,1,2007,4,JPTP,30,8.41342332116163
118,1,2007,4,JPTP,32,20.0627786889239
118,1,2007,4,JPTP,34,10.354982549122
118,1,2007,4,JPTP,36,11.6493553677623
118,1,2007,4,JPTP,38,21.3571515075641
118,1,2007,4,JPTP,40,32.3593204660063
118,1,2007,4,JPTP,42,17.4740330516434
118,1,2007,4,JPTP,44,1.94155922796038
118,1,2007,4,JPTP,46,0.647186409320125
118,1,2007,4,JPTP,48,0.647186409320125
