year,season,area,value
1969,1,4,19618232.15
1969,2,4,28254304.43
1969,3,4,22782505.6
1969,4,4,24379062.54
1970,1,4,24029110.38
1970,2,4,24991787.19
1970,3,4,20572999.14
1970,4,4,19291823.13
1971,1,4,23980691.62
1971,2,4,27594130.2
1971,3,4,28886757.94
1971,4,4,25290123.01
1972,1,4,27535051.4
1972,2,4,28214528.84
1972,3,4,18663619.19
1972,4,4,16088621.64
1973,1,4,14525659.89
1973,2,4,17182804.8
1973,3,4,19790170.84
1973,4,4,17004305.01
1974,1,4,14008276.67
1974,2,4,15733848.91
1974,3,4,12994835.61
1974,4,4,11988214.14
1975,1,4,11539898.57
1975,2,4,16764586.58
1975,3,4,14903751.35
1975,4,4,12194672.16
1976,1,4,13608534.01
1976,2,4,19091792.53
1976,3,4,16590487.08
1976,4,4,17126781.6
1977,1,4,16626801.84
1977,2,4,18424872.5
1977,3,4,25200841.2
1977,4,4,24000486.92
1978,1,4,22100639.01
1978,2,4,29811259.1
1978,3,4,25153327.57
1978,4,4,21201642.68
1979,1,4,16778151.83
1979,2,4,19864720.8
1979,3,4,22442407.87
1979,4,4,25853002.52
1980,1,4,19147119.03
1980,2,4,22907523.91
1980,3,4,23805427.68
1980,4,4,16259332.4
1981,1,4,12353480.44
1981,2,4,19807259.88
1981,3,4,16100567.7
1981,4,4,18711004.89
1982,1,4,16576879.8
1982,2,4,18459553.62
1982,3,4,18318057.58
1982,4,4,16788849.97
1983,1,4,13297739.76
1983,2,4,17460590.11
1983,3,4,24617929.51
1983,4,4,23167597.26
1984,1,4,19741235.26
1984,2,4,12934360.17
1984,3,4,17442564.99
1984,4,4,16465670.2
1985,1,4,11742365.25
1985,2,4,14989401.89
1985,3,4,19029166.78
1985,4,4,11548857.41
1986,1,4,12921261.91
1986,2,4,24770277.57
1986,3,4,22583346.26
1986,4,4,20655854.39
1987,1,4,13119732.1
1987,2,4,20297393.03
1987,3,4,19874469.35
1987,4,4,19124777.22
1988,1,4,16629322.53
1988,2,4,17682904.35
1988,3,4,16338890.21
1988,4,4,13035879.08
1989,1,4,13134268.22
1989,2,4,12393650.17
1989,3,4,12865242.2
1989,4,4,9925653.23
1990,1,4,11049207.45
1990,2,4,16452701.06
1990,3,4,13907908.35
1990,4,4,8829166.255
1991,1,4,9582377.263
1991,2,4,14180925.73
1991,3,4,15539944.73
1991,4,4,12181297.1
1992,1,4,10278332.09
1992,2,4,18466462.37
1992,3,4,18621141.44
1992,4,4,14630952.74
1993,1,4,10086933.66
1993,2,4,11514678.43
1993,3,4,15317339.35
1993,4,4,9831950.426
1994,1,4,9966154.173
1994,2,4,10613751.76
1994,3,4,13581275.79
1994,4,4,12719772.87
1995,1,4,12768165.54
1995,2,4,15626680.83
1995,3,4,9045701.797
1995,4,4,7747719.342
1996,1,4,8462366.749
1996,2,4,15481331.48
1996,3,4,27927243.54
1996,4,4,20939681.27
1997,1,4,22579196.87
1997,2,4,17720591.37
1997,3,4,14161700.85
1997,4,4,9285754.419
1998,1,4,8497557.194
1998,2,4,11720649.43
1998,3,4,15018757.06
1998,4,4,8593447.147
1999,1,4,4567903.042
1999,2,4,6530304.881
1999,3,4,7305253.722
1999,4,4,10292956.68
2000,1,4,10603422.05
2000,2,4,14462054.76
2000,3,4,15475609.35
2000,4,4,9828544.905
2001,1,4,7326205.785
2001,2,4,15278388
2001,3,4,9838577.634
2001,4,4,7331262.014
2002,1,4,7045111.871
2002,2,4,9968362.898
2002,3,4,8149945.546
2002,4,4,8672512.782
2003,1,4,8788729.897
2003,2,4,8319908.439
2003,3,4,6585356.696
2003,4,4,6567862.478
2004,1,4,6311055.995
2004,2,4,9716544.3
2004,3,4,14133267.37
2004,4,4,7173155.444
2005,1,4,5304155.536
2005,2,4,9382064.425
2005,3,4,9210837.425
2005,4,4,6481558.393
2006,1,4,9671752.285
2006,2,4,8382466.94
2006,3,4,7600192.949
2006,4,4,4643710.987
2007,1,4,4787486.337
2007,2,4,7509191.054
2007,3,4,9634302.892
2007,4,4,7823278.438
2008,1,4,4973878.008
2008,2,4,7014673.208
2008,3,4,6604623.447
2008,4,4,4426333.867
2009,1,4,4904843.498
2009,2,4,6811323.799
