year,season,area,age,n
1970,1,1,6,8454610
1970,1,1,7,1202080
1970,1,1,8,324497
1970,1,1,9,1270290
1970,1,1,10,7177810
1970,1,1,11,1478750
1970,1,1,12,295527
1970,1,1,13,1166130
1970,1,1,14,1999480
1970,1,1,15,524730
1970,1,1,16,79384.4
1970,1,1,17,261897
1970,1,1,18,2318490
1970,1,1,19,801915
1970,1,1,20,96758.9
1970,1,1,21,217832
1970,1,1,22,930180
1970,1,1,23,477963
1970,1,1,24,52352.6
1970,1,1,25,63978.1
1970,1,1,26,1309450
1970,1,1,27,1186520
1970,1,1,28,135787
1970,1,1,29,81376
1970,1,1,30,344792
1970,1,1,31,660430
1970,1,1,32,78695.4
1970,1,1,33,27940.3
1970,1,1,34,117293
1970,1,1,35,561635
1970,1,1,36,59499.6
1970,1,1,37,17813.1
1970,1,1,38,27353.5
1970,1,1,39,357508
1970,1,1,40,1033380
1971,1,1,1,298487
1971,1,1,2,19393200
1971,1,1,3,1104880
1971,1,1,4,475907
1971,1,1,5,909065
1971,1,1,6,12864100
1971,1,1,7,1974290
1971,1,1,8,603797
1971,1,1,9,1903740
1971,1,1,10,4822920
1971,1,1,11,999947
1971,1,1,12,238997
1971,1,1,13,882019
1971,1,1,14,4746120
1971,1,1,15,1137490
1971,1,1,16,214281
1971,1,1,17,782520
1971,1,1,18,1360970
1971,1,1,19,380441
1971,1,1,20,55921.7
1971,1,1,21,172357
1971,1,1,22,1568000
1971,1,1,23,557378
1971,1,1,24,66598.8
1971,1,1,25,141549
1971,1,1,26,619310
1971,1,1,27,322317
1971,1,1,28,35464.8
1971,1,1,29,41254.2
1971,1,1,30,857600
1971,1,1,31,782800
1971,1,1,32,90714.7
1971,1,1,33,52268.6
1971,1,1,34,222386
1971,1,1,35,428717
1971,1,1,36,51823.3
1971,1,1,37,17884.5
1971,1,1,38,74708.6
1971,1,1,39,360245
1971,1,1,40,941176
1972,1,1,1,531890
1972,1,1,2,29393000
1972,1,1,3,2137190
1972,1,1,4,939112
1972,1,1,5,1121640
1972,1,1,6,5122760
1972,1,1,7,894836
1972,1,1,8,286840
1972,1,1,9,681391
1972,1,1,10,7177120
1972,1,1,11,1640460
1972,1,1,12,445493
1972,1,1,13,1328630
1972,1,1,14,3156030
1972,1,1,15,774684
1972,1,1,16,174549
1972,1,1,17,596035
1972,1,1,18,3211170
1972,1,1,19,830828
1972,1,1,20,151732
1972,1,1,21,517873
1972,1,1,22,920075
1972,1,1,23,266404
1972,1,1,24,38567.5
1972,1,1,25,112541
1972,1,1,26,1047290
1972,1,1,27,378469
1972,1,1,28,45052.6
1972,1,1,29,91547.4
1972,1,1,30,407818
1972,1,1,31,214015
1972,1,1,32,23684.6
1972,1,1,33,26521.7
1972,1,1,34,557338
1972,1,1,35,511331
1972,1,1,36,59924.6
1972,1,1,37,33496.9
1972,1,1,38,142822
1972,1,1,39,276642
1972,1,1,40,916094
1973,1,1,1,392956
1973,1,1,2,34835200
1973,1,1,3,3490420
1973,1,1,4,1494090
1973,1,1,5,1046640
1973,1,1,6,7776740
1973,1,1,7,1741060
1973,1,1,8,563580
1973,1,1,9,841061
1973,1,1,10,2799240
1973,1,1,11,723937
1973,1,1,12,200344
1973,1,1,13,474111
1973,1,1,14,4611350
1973,1,1,15,1265540
1973,1,1,16,324184
1973,1,1,17,896410
1973,1,1,18,2109730
1973,1,1,19,565242
1973,1,1,20,123438
1973,1,1,21,394128
1973,1,1,22,2150860
1973,1,1,23,581465
1973,1,1,24,104407
1973,1,1,25,337619
1973,1,1,26,611159
1973,1,1,27,180849
1973,1,1,28,25975.1
1973,1,1,29,72633.8
1973,1,1,30,687488
1973,1,1,31,251166
1973,1,1,32,29881.8
1973,1,1,33,58646
1973,1,1,34,264619
1973,1,1,35,139681
1973,1,1,36,15551.5
1973,1,1,37,16909.3
1973,1,1,38,357950
1973,1,1,39,329650
1973,1,1,40,904843
1974,1,1,1,723311
1974,1,1,2,16012900
1974,1,1,3,2321790
1974,1,1,4,917388
1974,1,1,5,381606
1974,1,1,6,9440510
1974,1,1,7,2804870
1974,1,1,8,896343
1974,1,1,9,786372
1974,1,1,10,4288040
1974,1,1,11,1412730
1974,1,1,12,395108
1974,1,1,13,586781
1974,1,1,14,1776480
1974,1,1,15,550819
1974,1,1,16,140894
1974,1,1,17,318993
1974,1,1,18,3038420
1974,1,1,19,919219
1974,1,1,20,228167
1974,1,1,21,590568
1974,1,1,22,1397700
1974,1,1,23,394275
1974,1,1,24,84604.2
1974,1,1,25,255971
1974,1,1,26,1415170
1974,1,1,27,393410
1974,1,1,28,69979
1974,1,1,29,216923
1974,1,1,30,398344
1974,1,1,31,119624
1974,1,1,32,17115.3
1974,1,1,33,46297.4
1974,1,1,34,443596
1974,1,1,35,163335
1974,1,1,36,19453.5
1974,1,1,37,37158.4
1974,1,1,38,169177
1974,1,1,39,89696.1
1974,1,1,40,1025040
1975,1,1,1,1154520
1975,1,1,2,18241800
1975,1,1,3,3920130
1975,1,1,4,1355660
1975,1,1,5,379992
1975,1,1,6,4482460
1975,1,1,7,1774950
1975,1,1,8,535490
1975,1,1,9,290470
1975,1,1,10,5291600
1975,1,1,11,2259690
1975,1,1,12,629573
1975,1,1,13,552532
1975,1,1,14,2732670
1975,1,1,15,1074880
1975,1,1,16,278370
1975,1,1,17,395679
1975,1,1,18,1160200
1975,1,1,19,396400
1975,1,1,20,96936.2
1975,1,1,21,209674
1975,1,1,22,1991730
1975,1,1,23,638811
1975,1,1,24,155757
1975,1,1,25,382327
1975,1,1,26,911847
1975,1,1,27,265934
1975,1,1,28,56499
1975,1,1,29,163884
1975,1,1,30,915315
1975,1,1,31,259397
1975,1,1,32,45909
1975,1,1,33,137703
1975,1,1,34,255480
1975,1,1,35,77546.7
1975,1,1,36,11078.3
1975,1,1,37,29201
1975,1,1,38,282195
1975,1,1,39,104526
1975,1,1,40,840121
1976,1,1,1,1644620
1976,1,1,2,19211000
1976,1,1,3,5935570
1976,1,1,4,1710770
1976,1,1,5,406649
1976,1,1,6,5398410
1976,1,1,7,2861030
1976,1,1,8,802324
1976,1,1,9,295256
1976,1,1,10,2544040
1976,1,1,11,1389400
1976,1,1,12,366707
1976,1,1,13,207817
1976,1,1,14,3415950
1976,1,1,15,1718280
1976,1,1,16,446433
1976,1,1,17,377583
1976,1,1,18,1802300
1976,1,1,19,778293
1976,1,1,20,193013
1976,1,1,21,262539
1976,1,1,22,761371
1976,1,1,23,275635
1976,1,1,24,65641.3
1976,1,1,25,136562
1976,1,1,26,1299280
1976,1,1,27,432820
1976,1,1,28,104469
1976,1,1,29,246133
1976,1,1,30,590627
1976,1,1,31,176256
1976,1,1,32,37244.2
1976,1,1,33,104584
1976,1,1,34,588244
1976,1,1,35,169051
1976,1,1,36,29847.6
1976,1,1,37,87280.1
1976,1,1,38,163067
1976,1,1,39,49898.6
1976,1,1,40,797798
1977,1,1,1,1088300
1977,1,1,2,20089400
1977,1,1,3,8243360
1977,1,1,4,1948240
1977,1,1,5,475175
1977,1,1,6,6140740
1977,1,1,7,4086180
1977,1,1,8,1039810
1977,1,1,9,324784
1977,1,1,10,3151400
1977,1,1,11,2180680
1977,1,1,12,552581
1977,1,1,13,216788
