year,area,age,f
1972,1,30,0.0102445581
1972,1,31,0.0102429757
1972,1,32,0.0102419361
1972,1,33,0.0102412722
1972,1,34,0.0102408669
1972,1,35,0.0102406347
1972,1,36,0.010240519
1972,1,37,0.0102404782
1972,1,38,0.0102404782
1972,1,39,0.0102404782
1972,1,40,0.0102404782
1973,1,1,1.8758347e-05
1973,1,2,0.030776795
1973,1,3,0.041729575
1973,1,4,0.051317575
1973,1,5,0.044570804
1973,1,6,0.042388209
1973,1,7,0.044018814
1973,1,8,0.040596453
1973,1,9,0.032918448
1973,1,10,0.025900534
1973,1,11,0.021582212
1973,1,12,0.019264019
1973,1,13,0.017903534
1973,1,14,0.017016017
1973,1,15,0.016401473
1973,1,16,0.01596437
1973,1,17,0.015650057
1973,1,18,0.015423197
1973,1,19,0.015259427
1973,1,20,0.015141403
1973,1,21,0.015056596
1973,1,22,0.014995892
1973,1,23,0.014952645
1973,1,24,0.014922002
1973,1,25,0.014900538
1973,1,26,0.014885388
1973,1,27,0.014874764
1973,1,28,0.01486737
1973,1,29,0.014862271
1973,1,30,0.014858794
1973,1,31,0.014856456
1973,1,32,0.014854915
1973,1,33,0.014853925
1973,1,34,0.014853313
1973,1,35,0.01485296
1973,1,36,0.014852776
1973,1,37,0.014852704
1973,1,38,0.014852704
1973,1,39,0.014852704
1973,1,40,0.014852704
1974,1,1,2.6413846e-05
1974,1,2,0.026751061
1974,1,3,0.035082636
1974,1,4,0.042948923
1974,1,5,0.039032753
1974,1,6,0.039696963
1974,1,7,0.043175781
1974,1,8,0.041625333
1974,1,9,0.035800671
1974,1,10,0.030070649
1974,1,11,0.026356032
1974,1,12,0.024238658
1974,1,13,0.022933042
1974,1,14,0.022056693
1974,1,15,0.021441686
1974,1,16,0.021001665
1974,1,17,0.020684373
1974,1,18,0.020454985
1974,1,19,0.020289163
1974,1,20,0.020169499
1974,1,21,0.02008339
1974,1,22,0.02002166
1974,1,23,0.019977613
1974,1,24,0.01994635
1974,1,25,0.019924389
1974,1,26,0.019908894
1974,1,27,0.019898036
1974,1,28,0.019890487
1974,1,29,0.019885292
1974,1,30,0.019881758
1974,1,31,0.019879391
1974,1,32,0.01987784
1974,1,33,0.019876853
1974,1,34,0.019876251
1974,1,35,0.019875911
1974,1,36,0.019875742
1974,1,37,0.019875688
1974,1,38,0.019875688
1974,1,39,0.019875688
1974,1,40,0.019875688
1975,1,1,3.9810719e-05
1975,1,2,0.030110394
1975,1,3,0.043123436
1975,1,4,0.054100612
1975,1,5,0.046302691
1975,1,6,0.043384091
1975,1,7,0.045188707
1975,1,8,0.041643683
1975,1,9,0.033311789
1975,1,10,0.025690346
1975,1,11,0.021072736
1975,1,12,0.018667585
1975,1,13,0.017305049
1975,1,14,0.016442523
1975,1,15,0.015858204
1975,1,16,0.015448879
1975,1,17,0.015157647
1975,1,18,0.014949024
1975,1,19,0.014799243
1975,1,20,0.014691749
1975,1,21,0.01461477
1975,1,22,0.014559837
