year,season,fishery,area,catch
2014,1,9,4,1649.97
2015,1,9,4,2558.37
2016,1,9,4,1783.77
2017,1,9,4,3072.64
2018,1,9,4,3550.16
2019,1,9,4,5785.89
2020,1,9,4,1630.54
2021,1,9,4,2776.08
2022,1,9,4,5012.06
2023,1,9,4,2132.67
2024,1,9,4,3418.79
1952,1,10,5,0
1953,1,10,5,1245.98
1954,1,10,5,2728.58
1955,1,10,5,1850.17
1956,1,10,5,570.674
1957,1,10,5,937.35
1958,1,10,5,358.566
1959,1,10,5,837.362
1960,1,10,5,377.31
1961,1,10,5,689.511
1962,1,10,5,1475.92
1963,1,10,5,769.153
1964,1,10,5,1118.48
1965,1,10,5,418.094
1966,1,10,5,1214
1967,1,10,5,632.658
1968,1,10,5,451.908
1969,1,10,5,1458.17
1970,1,10,5,559.028
1971,1,10,5,1284.9
1972,1,10,5,1716.98
1973,1,10,5,1429.98
1974,1,10,5,1917.36
1975,1,10,5,660.004
1976,1,10,5,585.837
1977,1,10,5,1159.76
1978,1,10,5,1380.75
1979,1,10,5,1004.5
1980,1,10,5,1152.51
1981,1,10,5,1501.29
1982,1,10,5,2386.75
1983,1,10,5,677.473
1984,1,10,5,778.317
1985,1,10,5,870.749
1986,1,10,5,1934.15
1987,1,10,5,795.668
1988,1,10,5,3383.59
1989,1,10,5,982.467
1990,1,10,5,2125.48
1991,1,10,5,704.524
1992,1,10,5,486.863
1993,1,10,5,910.454
1994,1,10,5,1442.31
1995,1,10,5,1811.04
1996,1,10,5,1133.91
1997,1,10,5,1934.63
1998,1,10,5,981.429
1999,1,10,5,1266
2000,1,10,5,1601.94
2001,1,10,5,1576.65
2002,1,10,5,1612.86
2003,1,10,5,2620.09
2004,1,10,5,2109.16
2005,1,10,5,2057.72
2006,1,10,5,2509.41
2007,1,10,5,1961.06
2008,1,10,5,2797.79
2009,1,10,5,2783.5
2010,1,10,5,3106.66
2011,1,10,5,4159.87
2012,1,10,5,2904.55
2013,1,10,5,1891.13
2014,1,10,5,3310.98
2015,1,10,5,2562.79
2016,1,10,5,2931.1
2017,1,10,5,3906.25
2018,1,10,5,2748.58
2019,1,10,5,3699.33
2020,1,10,5,3211.5
2021,1,10,5,5325.03
2022,1,10,5,3050
2023,1,10,5,5018.11
2024,1,10,5,5504.83
1952,1,11,5,0
1953,1,11,5,0
1954,1,11,5,0
1955,1,11,5,0
1956,1,11,5,0
1957,1,11,5,0
1958,1,11,5,0
1959,1,11,5,0
1960,1,11,5,0
1961,1,11,5,0
1962,1,11,5,0
1963,1,11,5,0
1964,1,11,5,0
1965,1,11,5,0
1966,1,11,5,0
1967,1,11,5,0
1968,1,11,5,0
1969,1,11,5,0
1970,1,11,5,0
1971,1,11,5,0
1972,1,11,5,0
1973,1,11,5,0
1974,1,11,5,0
1975,1,11,5,0
1976,1,11,5,0
1977,1,11,5,0
1978,1,11,5,0
1979,1,11,5,0
1980,1,11,5,0
1981,1,11,5,0
1982,1,11,5,0
1983,1,11,5,0
1984,1,11,5,0
